num_vehicle,num_order,num_city,graph_density,order_canceled
5,20,7,0.4,24640
5,20,8,0.3,25089
5,20,8,0.4,24974
5,20,10,0.3,24601
5,20,10,0.4,25226
6,1,5,0.3,0
6,1,5,0.4,0
6,1,6,0.3,0
6,1,6,0.4,0
6,1,7,0.3,0
6,1,7,0.4,0
6,1,8,0.3,0
6,1,8,0.4,0
6,1,10,0.3,0
6,1,10,0.4,0
6,2,5,0.3,38
6,2,5,0.4,188
6,2,6,0.3,448
6,2,6,0.4,399
6,2,7,0.3,834
6,2,7,0.4,249
6,2,8,0.3,605
6,2,8,0.4,434
6,2,10,0.3,579
6,2,10,0.4,460
6,3,5,0.3,1792
6,3,5,0.4,874
6,3,6,0.3,1631
6,3,6,0.4,1196
6,3,7,0.3,1067
6,3,7,0.4,1122
6,3,8,0.3,1551
6,3,8,0.4,1459
6,3,10,0.3,1588
6,3,10,0.4,1611
6,4,5,0.3,2157
6,4,5,0.4,2388
6,4,6,0.3,3252
6,4,6,0.4,2561
6,4,7,0.3,2636
6,4,7,0.4,2614
6,4,8,0.3,3140
6,4,8,0.4,2730
6,4,10,0.3,2961
6,4,10,0.4,2859
6,5,5,0.3,3153
6,5,5,0.4,3755
6,5,6,0.3,3487
6,5,6,0.4,3668
6,5,7,0.3,3677
6,5,7,0.4,4049
6,5,8,0.3,4148
6,5,8,0.4,4198
6,5,10,0.3,4334
6,5,10,0.4,4247
6,6,5,0.3,5374
6,6,5,0.4,5008
6,6,6,0.3,5275
6,6,6,0.4,5116
6,6,7,0.3,5650
6,6,7,0.4,4892
6,6,8,0.3,5335
6,6,8,0.4,5376
6,6,10,0.3,5545
6,6,10,0.4,5148
6,7,5,0.3,6582
6,7,5,0.4,5934
6,7,6,0.3,6696
6,7,6,0.4,6219
6,7,7,0.3,6827
6,7,7,0.4,6229
6,7,8,0.3,7188
6,7,8,0.4,6476
6,7,10,0.3,6855
6,7,10,0.4,6690
6,8,5,0.3,6966
6,8,5,0.4,7315
